ID,LV-ASOC1,LV-ASOC2,LV-ASOC3,LV-ASOC4,NYC-ASOC1,NYC-ASOC2,NYC-ASOC3,NYC-ASOC4,NSH-ASOC1,NSH-ASOC2,NSH-ASOC3,NSH-ASOC4,LA-ASOC1,LA-ASOC2,LA-ASOC3,LA-ASOC4,NO-ASOC1,NO-ASOC2,NO-ASOC3,NO-ASOC4
S132,casino,gambling,Fun ,Late nights,Big apple,Lots of people,Taxi,Gossip Girl,Bars,Music,Fancy Outfits,Active,Dreamy,Hot,Busy,Expensive,Home,Active,Loving,Beautiful
S133,casino,money,party,clubs,clothing,freedom,creativity,style,jobs,Memphis,food,Hotels,Famous people,Beautiful,Disneyland,Food,Beignets,Bourbon Street,Alcohol,Floods
S134,casinos,21,desert,sphere,sites,christmas,shopping,thanksgiving,country,Bars,good food,North,bright lights,Hollywood,LAPD,inflation,food,hospitality,water,voodoo
S135,people (lots!),shopping,food,very busy,shopping,food,lots of walking,very loud,bars,food,activities,Short trip,far away,famous people,good food,baseball,fun,dirty,good food,not far
S136,concerts,colorful and bright,sphere,F1 race,big,city of love,broadway,overcrowded,party,country,"save a horse, ride a cowboy",people (lots!),views,people (lots!),wizards of waverly place.,food,bourban street,food,people (lots!),tours
S137,Hot,Gambling + casinos,Homeless people,Alcohol  cocktails,Homeless People,Rats,Shopping,NYE ball drop,country music,Bars,Morgan Wallen,live like theres no tommorrow,expensive,hollywood,celebrity sighting,beaches,bourbon street,mardi gras,colorful,loud
S138,gambling casinos,bright,party scene,cramped,fashionable,performing arts talented,unsafe dirty,cramped,country music,fun,artistic,big city,celebrities,Beach,Hidden Hills,Expensive food (Nobu!),Mardi Gras,King Cake,Daquiri,Haunted
S139,night life is huge,unsafe,fun when with friends,expensive,concrete everywhere,subway rats,lots of history,tourist heavy,crowded,music city,good food,loud,dirty,hot,famous,city of angels,jazz  music,haunted,cultured,party scene
S140,bright,lively,dry,iconic,legendary,spectacular,grand,full of life,Country,fun,loud,expensive,expensive,crowded,gross,huge,gorgeous architecture,smelly,good food,more affordable
S141,Gambling,Well lit,Dry heat,Keeth Lee,Cold city,Rats every where,bad traffic,Good food,Moonshine tasting,museums,Amazing food,awesome,iconic,warm,beautiful,aesthetic,culture rich,fun,exciting,grand
S142,Only fun activities at night,full of casinos,spend a LOT of money,always lit up,subway stations everywhere,has a different type of McDonald's,all the jumbotrons,shopping,lights,country music center,different food options,Good weather,Hollywood sign,rich,starpower,Fake people,Bourbon Street,Mardi Gras,Tourism,Dirty
S143,Casino,Hot,Speedvegas,Freemont,Statue of Liberty,Central Park,Empire State,Time Square,Hot chicken,Nascar,Aquarium,loud,Hollwood center of celebrities,sunny days,palm trees,delicious food joints,city of music,city of voodo magic,Princess Tiana's hometown,FOOD!
S144,Casinos,Sight seeing,lots of walking,Smells of Drugs,NYE,Statue of Liberty,High-end Stores,Heavy traffic,Opryland Hotel,Music City,Country music,,Hollywood,Universal Studios,Walt Disney,Venice,Cajun food,Bourbon Street,French quarter,Gators
S145,Bright,Lively,Depressing,Gambling,Big,Polluted,Expensive,Bronx,Populated,OK weather,Lively,Broadway,Palm Trees,Shopping,Celebrities,Crowds,Partying,Drinking Alcohol,Homeless people,Bourbon Street
S146,Money,Exciting,Crazy,Spectacular,Sightful,Ellegant,Fancy,Beautiful,Music City,Country,Bars,Decent people,Nice weather,Bright,Lively,Populated,Weird streets,Good food,Populated,Landmark
S147,gambling,clubs,"What happens in Vegas, stays in Vegas",strippers,big apple,opportunities,corporate,touristy,country music,lively,night life on broadway,Delicious food,Beaches,Beautiful,Peaceful,Spectacular,Crazy,Exciting,Delicious food,Bars
S148,Loud,Fun,exciting,Vibrant,Tall,Loud,dirty,overpopulated,music ,country,fun,bachelorette trip,beachy,west coast,party,rich,bourbon,soul,cajun,dirty
S149,Casino,Dirty,Strippers,Night time,Cold,broadway,big city lights,corporate job,bars,country music,taking pictures,Alive,Gross,Dirty,Famous,Celebrities,Fun,Bright,unique,Loud
S150,Casinos,Bars,Money,Ting Eiffel Tower,Crowded,Glamourous,Chicken Caesar Wrap,Models,Country,Music,Blake Shelton,hot,celebrities,movies,money,mountain,Bourbon Street,Jazz,Mardi gras,football
S151,Casinos,Hotels,Sphere,Desert,Broadway Theatre,Times Square,Empire State Building,Macy's,country music,bachelorette trips,Broadway Street,Bull Riding,Rodeo DRIVE,Celebrities,Hollywood Stars,Beaches,Seafood,Pot holes,Bourbon St.,Home
S152,Gambling,21+,Drugs,Strippers,Shopping,Technology,Pizza,Subway,Country,Fried Chicken,Loud,cowboy culture,celebrities,hollywood,Movies,Hills,Food,Jazz music,History,Culture
S153,lots of casinos,lots of sight seeing,lots of resturants,gets very hot in the summer,shopping,taxis,lots of walking,very crowded,country music,shopping,bug city,Music,Cong,Marvel,Fim,Music,Crowded,21+,Party,Alcohol
S154,casino,night,money,entertaining,Fast,nightlife,sightseeing,work,country ,south,music,lots of fun,crowded,busy,lots of hotels,lots of casinos,shopping,crowded,lots of walking,lots of activities
S155,gambling casinos,Desolate,Weddings,Social,big apple,Industrial,Busy,Subway ,Barbeque,Southern,Greenery,safe,summer,celebrity,hot,not humid,cultural,fun,southern,musical
S156,gambling,night life,bars,casino,traffic,busy,Empire state Building,Met,rodeo,cowboy,main street,Cowboy,Popular,Fancy,Diverse,Large,artistic,musical ,cultural ,foodie
S157,Pretty lights,hot,loud,smells,Cold city,bright,no nature,loud,Country,Beautiful,Busy,concerts,Hollywood,actors,movies,busy,Bourbon street,street performers,music,good food
S158,casinos,bright lights,bustling nightlife,clubs,tall buildings,traffic,crowded sidewalks,NYE ball drop,Steak,the South,cowboys,Spread out,Crowded,Popular people,Party,loud,interesting,Parades,fun,humid
S159,"what happens in vegas, stays in vegas ",gambling,marriage,party,skyscrapers,terrorist attack,Apple,Lady Liberty,Country   Western,party bus,Morgan Wallen,mountains,sunny,West coast,the beach,expensive,voodoo,cajun food,creole,NOLA accent
S160,expensive,vanity,waste,Hoffa,backwards,business,crowded,expensive,close,warm,relaxed,country music,Influencers,Expensive ,Liberal ,talented,Mardi Gras,rice + red beans,Seminary university,weed
S161,beautiful nights day,casino,souvenir shopping,Pictures,Walking streets,hiking trails,pictures taking (have to get the pictures) ,shopping,Bars,Shopping,Activities,cozy,chill,bustling,alive,extra,smells,dangerous,strange,fever dream
S162,casino,alcohol,gambling,money,shopping,food,buildings,taxis,Music,Mall,bars,Staying in Cabin,Shopping,late night walks,hiking ,Stargazing,Walks on Bourbon street,Shopping,learning about history,eating at yummy places
S163,Casino,Raiders,clubs,expensive,Lights,Traffic,Yankees,Knicks,Music,Bars,Jason Aldean,cowboy boots,Celebrities,money,technology,movies,history,food ,bourbon street,mardi gras
S164,wild,expensive,enjoyable,festive,hectic ,loud,full of culture,busy,lively,night life,exciting,Morgan Wallen,Clubs,Lakers,Dodgers,celebrities,Saints,Bourbon,Greek life,Soul food
S165,Casinos,Weddings,Strip,Party,Big Apple,Times square,Statue of Liberty,Empire State Building,Dolly World,Whiskey,Banjo,loud,hot,fancy,famous,crazy,dangerous,stinky,crowded,old
S166,casino,poker,21+,drinks,shopping,pizza,parade,Elouise,music,downtown,nightlife,Cabins,Lakers,Marijuana,Authentic Mexican Food,Beach,Mardi Gras,Beads,Saints,Flood
S167,Raiders,big city,traffic ,Nevada,Broadway,Pizza,Big Coke Store,traffic,drinking,country music,smoky mountains,fun,rich ,good time,restaurants,famous,blues,beignets,beads,fun
S168,Gambling,Marriage,deceiving,screaming,Mafia,boroughs,time square,flashy,country,chicken,local,hockey,half-marathon,Far away,parties,food,Gross town,Devil teaching,NOBS Seminary,New Orleans Saints football
S169,Desert,casino,Dirty,expensive,Time Square,Skyscrapers,corrupt,Queens,Bars,country music (pop),cowboy (fake),quick stay,Weed,celebs,Fakeness,Homelessness,Drinking,Mardi gras,Beads,Trolly
S170,Casinos,Hotels,Gambling,Money,Walking,Subways,tourists,Statue of Liberty,long roads,tour,food,whiskey,unrealistic political objectives,Expensive,Devil worshippers,wildfires,Jazz,Swamp,Alligator,Voodoo
S171,Bright,Festive,Tall,Bunched VP,BUSY,crowded,loud,cold,Normal,lively,Average,road trip,Calfornia,sun,water,celebrities,Princess Tiana,Food,Water,beignets
S172,bright,fast,fun,humid,fast,cold,a lot of people,compact,country,calm ,peaceful,Clean,Bright,colorful,Warm,Dark,Humid,Wet,Musical,Organic
,,,,,,,,,,,,fun,big city,bad traffic,palm trees, sunny,fun,good food,soul,calm
