ID,LasVegasPos,LasVegasNeg,NewYorkCityPos,NewYorkCityNeg,NashvillePos,NashvilleNeg,LosAngelesPos,LosAngelesNeg,NewOrleansPos,NewOrleansNeg
S84,had a great time at night at the casinos,had nothing else to see outside of the main attractions.,had a great time exploring the city and coming across all the different cultures and scenes from block to block.,was unimpressed by the metro condition.,was out in the city listening to music in the bars.,was caught up in expensive parking space tickets,had a good time sightseeing the big houses and iconic spots that I see in videogames,had to pay really expensive prices for things that'd be cheaper elsewhere,had enjoyed their Cajun style cooking,had to use public bathroom and it was in bad shape
S85,had a great time seeing everything.,did not expect it to be so crowded.,saw a Broadway play.,got my phone stolen.,went to several bars.,got into trouble with an officer.,saw so many people while visiting.,got stuck in hours of traffic heading to the airport.,went on several tours and went to bourbon street.,got rained on the whole time and it floods in new Orleans quite badly.
S86,"went out to the strip and hit the blackjack tables, but the house won.",lost all of my money and it was in a terrible casino that reeked of cigarettes.,"went to a Yankees game, hit all of the sight seeing spots, and had some amazing food.",got scammed by the people dressed as mickey mouse in Times Square.,"ate at the best hot chicken place in the world, prince's.",Spent way too much money at crappy country 6925.,got to do some studio tours and had the best Mexican food ever.,got stuck in the gridlock with no good public transit.,had an awesome time on Bourbon street and had the best po-boy of my life.,almost got robbed right off Bourbon.
S87,got to eat some good food.,was stuck on a plane there for hours.,got to see my sister and explore the city.,got food poisoning.,enjoyed fishing on the Cumberland river.,spent all of my money downtown.,got to see the dodger stadium.,didn't realize how many homeless people there were.,some incredible food.,got robbed.
S88,"think I did, I was 9 so I can't really remember",felt like I was there too young. The scenes in Las Vegas are very mature,love New York. It is a city right up my alley!,"can't fully remember the city, I was probably 8.",went there last weekend and it was a blast!,struggled to feel apart of Nashville because I'm not a partier,loved the airport.,was there only for a layover to Hawaii so it could've been more fun,love New Orleans! The city is overflowing with culture. I went for Mardi Gras!,didn't love the smells.
S89,walked to the strip and went bar hopping,had a hard time checking into my hotel b/c of the high occupancy.,saw the NY time square.,was lost everywhere I was going,went to the mall and got clothes,fell off the platform at top golf,ate plenty of good food in town,got into a car accident while I was there,went bar hopping on Bourbon Street.,was very bored trying to find something to do
S90,went sightseeing in the surrounding downtown area.,"Yes , I did not enjoy the partying and casino atmosphere.",have traveled with a group of people and we enjoyed seeing popular landmarks.,did not enjoy the constant traffic within the city while traveling by bus.,liked the mixed atmosphere of blues and country.,did not like the crime that was happening at the time.,enjoyed seeing the high hill tops of the communities.,did not like the weather conditions during wildfire season.,enjoyed visiting the aquarium and the zoo.,did not like the voodoo atmosphere on Bourbon street.
S91,had a great time experiencing the casinos and night life.,lost all my money playing black jack!,went to time square and after I explored the giant city.,"had bad interactions with the people there, and the traffic was awful",went to a country music concert and ate some hot chicken.,"Spent way too much money, and I didn't like the bar scene.",went for a walk on the beach and shopped for designer clothes.,had bad interactions with the residents.,loved exploring bourbon street and the French quarter.,got overwhelmed by the constant partying and it was dangerous.
S92,Enjoyed going to the Las Vegas Strip and seeing the Caesar place,didn't enjoy the very party atmosphere,loved seeing all the historic things the city had to offer,felt very unsafe most of the time I was there,enjoyed going down the bars.,didn't like now there wasn't much to do other than go to the bars.,enjoyed going to the beach and seeing Hollywood.,didn't enjoy how it took hours to one place that should have taken 20 minutes.,enjoyed the different culture they had there,felt very unsafe at night and during the day.
S93,enjoyed the view and had great foods.,missed my rides and the city is too crowded.,saw lots of great landmarks.,got allergies - the city has too much traffic and factories.,went to see Broadway.,cannot find a place that isn't filled with overcrowding foot traffic.,saw lots of basketball games and went to the beach.,cannot get anywhere on time and the prices are high.,had great seafood.,cannot get anywhere the traffic and one-way street are too bad.
S94,had a fun time.,t wasn't the best,thought the city was wonderful,thought the city was nasty,enjoyed it,didn't think it was worth the trip,"did, it was fun","did, but it wasn't that bad",love it more every time.,thought it could've been better
S95,lost a lot of money but I had a fun time with my friends.,got stopped by those characters in the street and lost every dollar to my name.,saw the statue of Liberty and a Broadway musical.,saw hundreds of rats and got mugged.,had great BBQ and loved walking down Broadway.,am not a huge country music fan and there wasn't much to do.,saw my favorite celebrities and put my hands on the walk of fame.,hate the heat and almost got ran over by 20 electric scooters.,loved the Mardi Gras parades and loved Bourbon Street.,"just saw a lot of homeless, it was disgustingly dirty there, and I'm allergic to shellfish."
S96,went to the casino and lost all of my money.,"wanted to go to the casino, but my wife wouldn't let me.",went and saw the Christmas lights.,got robbed of all my money by a homeless person.,Went to a couple music concerts.,Saw the titans lose by 30 to the Jets.,Went to a couple dodgers games with my family.,Was there during the wildfires.,Went to bourbon street with my friends,got robbed of all my money.
S97,Did their downtown was amazing and the food was even better,Didn't enjoy the amount of people and the traffic.,Love shopping and bustling cities.,I was very pricey there was cool places but walking everywhere or trying to catch a cab was exhausting.,Enjoyed all of the music from famous and small artists,Didn't have much to do outside bars and music.,Went hiking and shopping and saw a couple celebs,I was way to dry. My nose was bleeding every 2 seconds.,believe nothing compares to bourbon street. The drinks and food are the best.,was pickpocketed while walking back to my hotel. Didn't feel stress free the rest of the trip.
S98,barely remember it.,lost a lot of money.,had some great food.,saw a naked person on the Subway.,saw some great country performers.,got too drunk and lost my wallet,saw so many famous people.,accidentally walked down skid row.,went shopping and had great food.,was pick-pocketed on bourbon St.
S99,did the casinos were amazing,Yes it was bad everyone was drunk and wanted to gamble,did the skyscrapers were beautiful,did a pickpocketer stole my phone,did the music on Broadway was amazing.,did the titans and predators lost,did I got to go surfing,Yeah we accidentally went to skid row and it wasn't too fun,went on a bayou tour,did our hotel had a frat formal and they were so loud
S100,am tired from not sleeping.,got sick from all the people.,went shopping everyday.,was cold every time I walked outside.,got to listen to a lot of different country artists.,was not able to sleep from all the noise.,went to the beach.,got sick from the smog.,ate amazing food.,was scared because of the crime.
S101,saw the big animated ball and ate good food.,lost all my money gambling.,"tried a lot of food, shopped, and went to the top of the empire state building.",got mugged by a homeless man in Chinatown.,went to Jason Alden's restaurant and got new boots,got lost from my family and couldn't find them.,went to Disney land and watched the lakers play courtside.,tried to go swim but the water was freezing and everywhere smelled like weed.,went shopping & ate at cafe du Mond.,ended up in the wrong spot in town and got mugged.
S102,WAS ABLE TO WIN OVER $1000 AT THE CASINO!,LOST MY WALLET AND ALL MY LUGGAGE GOT STOLEN.,WAS ABLE TO SEE THE STATUE OF LIBERTY AND MY FIRST BROADWAY SHOW!,COULDNT GET OVER HOW DIRTY THE STREETS WHERE,WAS ABLE TO VISIT THE COUNTRY MUSIC HALL OF FAME,COULDNT GET BEHIND THE HYPE OF THE CITY.,"WAS ABLE TO SEE THE HOLLYWOOD SIGHN, AND WAS INVITED TO A MOVIE PREMIER!","COULDNT RELAX, I ALWAYS FELT LIKE SOMEONE WAS FOLLOWING ME.",WAS ABLE TO TRY SO MANY AMAZING FOODS,CONSTANTLY HAD TO WATCH WHAT I WAS BUYING BECAUSE IT WAS SO EXPENSIVE.
S103,ended up making a lot of money gambling,lost most of my money and went into debt.,was able to see all the monuments and attraction while there.,got stuck in traffic everyday and was barely able to see the Statue of Liberty.,loved the atmosphere in Nashville and would love to go again.,hated the traffic and all the noise from the bars.,was able to meet some of my favorite celebrities and get autographs.,ended up stuck on traffic and my favorite celebrity ended up being rude.,loved the food and people when I visited New Orleans.,hated the smell and all the bars in New Orleans.
S104,went to many casinos.,lost so much money on poker.,"went to many museums, and sight saw.",got robbed in the streets.,visited many bars and had a good time.,got drinks spilled on me at the bars.,took a tour of Beverly Hills.,was stuck in traffic all day.,walked Bourbon Street and visited the French Market.,was there when a shooting occurred.
S105,did but it's not a place I would go back to.,did it was extremely crowded and tourist-y,got to visit the Statue of Liberty and saw a Broadway musical.,had a terrible experience in Times Square and on the subway.,went to a concert and then went to some celebrity bars on Broadway,t was so horribly overcrowded with so many bachelorette trips.,got to see the Hollywood sign.,can't believe how awful the traffic is there.,loved visiting the French Quarter and attend a Mardi Gras Ball.,did not have a good experience on Bourbon Street.
S106,had a really enjoyed winning at the casinos.,did not enjoy all the drunk people there.,had a really great time visiting Times Square in New York City.,hated the street rats most of all.,enjoyed going on Broadway in Nashville.,hated all the congestion on Broadway at night.,enjoyed visiting the Hollywood Walk of Fame.,did not enjoy the traffic at all.,loved all the Cajun styled foods I tried.,did not like the smell of New Orleans at all.
S107,went there to gamble and party!,lost all my savings on a bad round of poker.,strolled around in Central Park and looked at museums!,paid for gross food and everywhere I stepped was overtaken by rats.,went for my 21st birthday!,got roofied on Broadway!,saw the Hollywood sign and ran into a few celebrities!,got mugged by a homeless person on broad daylight.,had the yummiest Shrimp Gumbo and beignets!,"Yes I, Got harassed in the French Quarters by drunk people."
S108,Tried to see how many casinos I could visit in one night.,Gambled away all of my money.,explored the various neighborhoods with people from all sorts of countries and cultures.,Could not stand the horrible smell of sewage.,visited museums and listened to great music,Had the spiciest hot sauce I've ever tried,Went to see the Hollywood sign,Could not afford anything,Watched a Mardis gras parade.,got rolled my first day there
S109,walked the strip with my family!,went with my family but it was too much walking.,went to the Empire State Building and took so many pictures,ran into locals and they are so rude.,"went to the mall and visited my family, cant wait to go back!",cant stand the southern lifestyle.,t was so nice to finally experience it.,cannot do the city life. I like my southern states!,loved the food!,went to so many places but felt too much of a voodoo vibe.
S110,like all the lights and music.,I didn't like being around all the gambling.,I loved the culture.,"I did not like how all the people acted, or how crowded it was.",loved all of the country music and people.,I felt like it is only for a select group of people.,Yes all of the best sports teams are there.,thought it was very crowded and the people were mean.,"I like the music, culture, and food.",I don't like all the crime and it was dirty.
S111,did have a great time.,was late for my flight.,tried so many foods.,was robbed on the subway.,went to my favorite bookstore.,stuck in traffic for hours.,visited so many famous places.,missed my flight.,went to Mardi Gras.,got lost downtown.
S112,I had a great time losing all my money gambling with the Huzz,"Went to Skid Row, Don't to you will get mugged",Saw cool sites But Almost got Mugged.,Almost got mugged But The views Are great,Vaguely Remember it Though.,Barely Remember it.,Almost got mugged But Hollywood is cool.,Almost got mugged But I didn't,Ate a lot of seafood,Hate seeing Homeless struggle
S113,Gambled a lot and went to the casinos,got robbed and lost all my money,walked around central park and enjoyed all the good cuisine.,Got stuck in a taxi in traffic and missed my flight.,went to the city and had great BBQ.,waited in traffic and lines in stores for hours.,went to the beach and got a great tan.,got stuck in traffic for hours and missed out on a lot.,Went to the bars with my friends and ate some good food.,felt like I was going to get robbed and I didn't feel safe anywhere.
S114,enjoyed the bright lights on the strip. ,lost everything while gambling. ,enjoyed the different types of food they have. ,did not enjoy how crowded it was in the city. ,loved hearing the music at the different bars.,lost my wallet. ,"Yes, the scenery was beautiful and the sites were breath taking.",got lost one night.,experienced Marti Gras and it was amazing.,saw a lot of small crimes happening around me. 
S115,had a great time exploring the city and taking pictures.,didn't love it because of the crowds.,got to go during Christmas and see the big Rockefeller tree.,did not like all the traffic.,did a lot of shopping and went to a concert.,was nervous about the night life and was anxious walking around at night.,got to see a lot of famous people out and about.,did not like the busyness of the streets.,enjoyed walking around the French Quarter and the beignets.,did not like how trashy it was and the smells.
S116,loved visiting Las Vegas.,loved visiting Las Vegas.,haven't been yet but I want to go.,haven't been yet but I want to go. ,haven't been to Nashville yet.,haven't been to Nashville yet.,enjoyed Los Angeles so much.,enjoyed Los Angeles so much.,did not enjoy New Orleans very much.,did not enjoy New Orleans very much.
S117,"Don't Remember much, but I know I had fun!",Put our retirement savings all on black and it did NOT go the way I thought it would,"Finally got to try authentic New York style pizza, I went to that bis Ice Rink and I went to some cool museums!","Got mugged several times, I got cursed by the locals of all ages, and everything costs way too much.","Went to some really great concerts, toured the Grand Ol Opry house ( I think that, what its called), had some great local beer, and I had some fantastic barbecue.",Got kind of bored during the day.,"Went to that Tim Burton themed restaurant, visited my friend, went surfing, attended Grace Baptist and Heard John MacArther Preach, went to a movie screening, Hiked to the Hollywood sign and met Tom Cruise.","Kept getting approached by sketchy people, the smog was terrible, A lot of the streets reeked of weed, and wild staff at the restaurants and coffee shops were very rude.","Got absolutely plastered at Mardi Gras, Ate some great beignets, Gumbo, crawfish and other Cajun food; Went to WWII Museum, and I had a great time.","Couldn't escape the smell of weed, someone mugged me at gunpoint, stepped at something Nasty on Bourbon Street, and was approached by several creeps."
S118,Stayed at the Strip and had many great experiences at popular casinos.,Spent a lot of money because it is one of the pricier tourist destinations.,always had something to do; the street life is amazing.,wasn't used to the transport such as walking long distances and subways.,liked the popular tourist spots there.,thought it was underwhelming for a big city.,heard there's many things to do there.,heard there's many homeless people and can get dangerous.,loved the style of the buildings on Bourbon Street and the culture.,saw it can get Chaotic during parades and may be dangerous travelling alone.
S119,went to a couple shows and a casino.,lost money at the casino and got harassed.,"got to go to a museum, sight seeing, and a bunch of unique shops.",thought the people were rude and the city was dirty.,"had a great time line dancing, seeing live entertainment, and the food was great.",had to deal with a lot of drunk people and some sketchy areas.,experienced nice weather and the city was nice to walk around.,had a hard time navigating the city.,"Saw a Broadway Show, went to the French Quarter, and lunch was delicious.",had to deal with creepy people and someone was trying to start a fight. The city was also dirty and smelled unpleasant.
S120,got to see the history of so many historical singers.,was sick from the plane ride there and it ruined my whole trip.,loved the atmosphere and getting to explore the city.,was exhausted from all of the walking and there were so many people.,got to perform on the Grand Ole Opry Stage.,was so sad because this was my last show choir performance ever.,got to do so much shopping in the downtown area.,didn't see or meet any celebrities when I was there.,got to try beignets for the first time.,was overwhelmed with how crowded it was all throughout the streets.
S121,did I went to the casino with my friends.,"did, I lost all my money at the casino.","did, I went to the top of the Empire State Building and then went to watch the New York Knicks.","did, everyone was really mean and it is very hard to get around to places in the city.","did, I went down to Broadway with my friends.",did town was very crowded and drinks were very expensive.,did it is very beautiful and there is so many things to see.,"did, it was very hot and everything was really expensive.","did, I went to a Saints game and then down to Bourbon Street with my friends.","did, I felt very unsafe and the city was pretty dirty."
S122,spent most of my time there on the strip and at casinos.,got food poisoning from eating at all the buffets around the city.,saw a Broadway show and toured the whole city.,got stuck in the terrible traffic and there was freezing weather the whole time. ,Saw country music shows at the opry at went out every night.,watched Tennessee Titans game.,Went to Disneyland and saw a ton of attractions. went to Hollywood card met a ton of celebrities.,thought it was too hot and expensive.,went out every night and went to a Saints game.,got lost in the French Quarter.
S123,did. It was an amazing time with friends.,"because we got stuck in the wrong room at our hotel, But, it got better after that.", It was amazing I did a lot of shopping and the food was so good.,did. It was snowing the whole time and it was -4 degrees. I couldn't handle it.,We went to the Megan Moroney concert and then ate dinner at this amazing steakhouse.,"had so many problems. My ticket for the concert didn't work, so I got scammed.", It was so amazing and gorgeous theme.,There were so many places where you had to wear certain shoes and clothes to go in places and I didn't know that.," It was so fun, my friends and I partied the whole weekend and had a blast.","It was awful, when we first got there it was good but then I got all my money and my phone taken."
S124,Had a great time on the Strip.,Sat in traffic for a long time to get there.,Never been.,Never been.,Visited a lot of cool historical places.,over paid for everything there.,went to the beach and Hollywood Boulevard.,sat in traffic for 6 hours.,ate at some great local restaurants.,almost died in a flood.
S125,went to the casinos and saw the big sphere.,lost all my money at the casino and everything was so expensive.,went to time Square and visited the huge park.,got mugged and saw like 20 rats everyday the size of dogs.,went to Broadway and spent a lot of time hanging out with friends.,had to taxi my drunk friends and pray they wouldn't throw up.,went to the Laker's game and saw Lebron James.,had spent a lot of money and the food was terrible.,got to visit Bourbon Street and watch the Mardi Gras parade.,had my phone stolen and had to be super careful not to get shot.
S126,had a great time at the shows.,lost money at the casino.,had a lot of great food and was impressed by 5th Avenue and Times Square.,did not feel very safe at times when I was caught in large crowds like in Times Square.,got to see my favorite country music artist and visit the Grand Ole Opry.,did not enjoy the traffic.,loved Disneyland.,had a hard time navigating the city.,had a great time seeing the architecture and culture.,saw a lot of homelessness
S127,made some money at a casino!,lost some money at a casino.,got to see a lot of cool tourist sites like Times Square.,came into a lot of rude New Yorkers.,saw an awesome concert.,couldn't see past all the bachelorette parties. ,went to the beach.,was really annoyed by all the traffic.,ate a lot of good food & saw a lot of good music. ,saw a lot of crazy drunk people on Bourbon St.
S128,went and walled the streets and saw amazing landmarks,lost all my money at the casinos.,got to see plays and musicals,I got mugged and got lost on the subway,went to amazing country concerts and ate amazing food,got stuck in traffic for hours,went to the beaches,it was so crowded,ate amazing Cajun food and heard amazing music,was followed by homeless people and it so dirty
S129,"had a grand time at the casinos. But you know they say, ""What happens in Vegas, stays in Vegas.""",saw a ton of homeless people and prostitutes asking for money. ,finally experienced the Big Apple!,"thought it was very overwhelming, and a lot going on.",visited the Country Music Hall of Fame and went to a NHL hockey game.,the traffic was horrible because they are so many people.,"got to see the infamous ""Hollywood"" sign in real life for the first time ever.",thought the food was gross.,ate so much good food. It was great!,ran into a bunch of drunks and homeless people asking for help.
S130,"did, however there were so many people.","did the traffic was awful,","did, the city was beautiful","did, everyone was so mean","did, downtown was awesome,","did, I had a little too much fun.",did the beach was cool.,did traffic was insane.,"did, the culture was cool.","did, so many homeless people"
S131,had an amazing time and met some big name basketball players.,"hated the weather, 102° at 12 in the morning is horrible.","actually never been,","actually, never been.",love the food and atmosphere.,hate how the altitude treats my ears.,actually never been.,actually never been.,love the food and got to play on an NBA court.,got so sick I could hardly function.
S132,had a great time in Las Vegas.,did not enjoy my trip in Las Vegas.,loved visiting the City of New York.,did not enjoy my trip to New York.,love visiting the city of Nashville.,did not enjoy my trip to Nashville.,enjoy my time so much in Los Angeles,was disappointed with my time in Los Angeles.,love to visit New Orleans with my family.,did not enjoy my trip at all to New Orleans.
S133,had a business trip out there this past weekend.,had a very bad encounter with a police officer.,had a great time with my family.,had a hard time choosing things to do.,visited an chapter retreat with my frat.,had some difficulty navigating.,went there with friends last summer.,lost $100.,had an amazing crawfish boil.,hit a raccoon on the way to the function.
S134,did I saw so many casinos!,did not  much to do if not 21!,did! I saw so many sites!,did not the food I got tired of!,went to a country concert!,did not because there was no many people!,went to a dodgers baseball game!,did not because the people were rude!,did I went shopping!,did not the streets were gross.
S135,loved the views and food.,was tired of the traffic and amount of people.,"loved the shopping, views, and food.",was overwhelmed by the amount of people and traffic.,went to a concert and had a wonderful time seeing the city before.,wasn't comfortable with how crowded it was.,loved the views.,was overwhelmed with the amount of people and activities.,"visited there on a mission trip, serving several communities around the city. It was a lot of fun.",was uncomfortable with the amount of homeless in the streets.
S136,loved everything about it,wish it was more walkable,love the city life,think there's too many people,went to a bunch of bars,got food poisoning,had a great time at the beach,realized I am in a different tax bracket,love bourbon street,think its really ghetto.
S137,won big at the casino.,gambled away my life savings.,visited the three-story Barnes & Noble bookstore and finally tried 'New York' style pizza.,did not realize how rude and rushed everybody would be.,met Morgan Wallen while I was there.,had a bit too much fun my first night and lost my car keys and wallet.,met lots of celebrities and visited the beach.,didn't realize how expensive everything was and basically did nothing the whole time.,went to a Mardi Gras parade and ate lots of King Cake.,had my purse and wallet stolen while watching a parade.
S138,love visiting Las Vegas.,did have a terrible time in Las Vegas.,did a lot of fun activities in New York City.,do not like New York City.,did have a great time in Nashville.,did not have any fun.,enjoyed visiting Los Angeles.,did not like my visit to Los Angeles.,loved visiting New Orleans.,had a terrible visit to New Orleans.
S139,got to experience night life and have good times with friends.,had to deal with drunk people putting my safety at risk.,went to the empire state building and got some yummy pizza for a dollar.,was surrounded by concrete and grossness.,got to visit a bunch of cool places and eat some good food!,was stuck in traffic for hours and could barely get around with all the people everywhere.,got to see many notable places and see different culture.,spent way to much on food and had many experiences with the grossness of the city.,got to see cool architecture and eat some good southern food.,could not get over the smell of the streets the whole time.
S140,got to go see the Sphere and it was incredible.,lost a lot of money at the casinos.,got to go to so many iconic landmarks and see some incredible views,went with a big group so we did not get to do everything I would have liked to.,went on the trip with the girls and had an amazing time,run into a bunch of drunk people and that kind of annoyed me.,got to see a bunch of iconic landmarks from movies.,did not like the attitude of some of the people I met.,went with a group of girls during Mardi Gras and we got to walk around the French Quarter and eat some good food.,saw a bunch of homeless people around there in certain places.
S141,"loved the light show, and how beautiful it was.",hated losing all my money in the casino.,enjoyed the amazing food options.,am not a fan of that many people plus all the rats.,got a chance to try multiple local restaurants and enjoy time with my family.,really don't like the big city compared to Mississippi!,"love the star power scene, It made me feel truly inspired.",am not for the LA traffic and the fake people.,loved Bourbon street.,hated how dirty the town was and how unsafe I felt.
S142,loved it!,did.,loved the big apple!,felt unsafe and always in a rush.,had an amazing time.,did not feel the safest while there.,enjoyed seeing the Walk of Fame on Hollywood Boulevard.,did not have the best time.,loved being in a city full of life and music.,did not enjoy the amount of voodoo.
S143,visited every casino I could,got my foot ran over by a taxi,viewed the statue of liberty,dropped my phone in the ocean,got a chance to ride the slingshot,had to cancel plans because the weather,got a chance to visit Hollywood,almost got arrested,got to eat Cajun food,got food poisoning
S144,loved seeing all the different recreations of monuments.,didn't enjoy how hot it was.,loved seeing the Statue of Liberty.,didn't enjoy how expensive it was.,went to a country concert.,do not enjoy all the traffic.,loved seeing famous people.,did not enjoy the amount of people.,couldn't wait to see Bourbon Street.,didn't like how unsafe I felt.
S145,loved looking at the lights of night.,was so bored the whole time.,think it was better than the last trip.,despised the city so much.,had an amazing time!,had a horrible time there!,had a wonderful time in Los Angeles!,didn't like it at all.,a blast!,couldn't wait to leave!
S146,I had a spectacular time and had fun seeing all Vegas had to offer.,I lost all my money at the casinos.,I saw all of how beautiful New York was and saw all of the sights.,"I thought the people were rude, and everything was so expensive.","I had so much fun, and can't wait to go back. We listened to a lot of great bands and had wonderful food.","Nashville was crazy, and everyone was drinking.",I had a lot of fun and saw some amazing things. I also did a lot of shopping in some wonderful stores.,I didn't like how rude the people were.,I had a wonderful time and ate some great seafood.,"I had a horrible time because the roads were disgusting, and the people were crazy."
S147,got to see many shows and performances.,gambled all my money away.,got to try great new food and see the statue of liberty.,had a rat crawl on my foot and we got lost in the subway.,went line dancing on Broadway and bought new cowboy boots.,dropped my purse on the street and got sick from a street dog stand.,Went rolling blading down the pier at the beach.,smelt marijuana everywhere I went.,got to hear live music and eat a beignet.,got trampled at Mardi gras.
S148,"got to walk the Strip, go to the Sphere, and saw all Vegas had to offer",took my kids to the strip and they are scared for life.,"Went to Central Park, saw statue of liberty, passed thru times square, It was Great","Couldn’t find my way around, got screamed at by everyone, saw way too many rats","Went to Broadway, enjoyed the bars and the great environment",Got sick in the bars and spent the trip in the Hotel,took a tour around the City.,Waited in traffic for 8 hrs. got robbed and it smelled bad,"Went to bourbon street, got to eat New Orleans style food.","Went to bourbon street, felt too crowded and unsafe."
S149,Went to the casino and won 1 billion dollars,lost all my money gambling and had to sell my house,"Got to go shopping, see Central Park, and all the famous buildings",was freezing the whole time and it smelled like weed everywhere. The subway was so scary I didn't go down there.,Went to Broadway street and visited all the different bars,Got drugged and had to go to the hospital,Got to go to a Movie premier and see the Hollywood sign,Got stuck in traffic the whole time and there were so many people,"Got to see all the artist in the French Quarter, go shopping and ate beignets",Got robbed on bourbon street and got way too drunk
S150,loved the strip and the casinos were very beautiful and so much fun.,did. There is not much else besides clubs and casinos.,loved it and the clothing stores there were just so amazing.,did not like how many people there was and everywhere is crowded.,had a great time at all the country music bars.,was not a big fan of the party scene.,enjoyed the beach and Rodeo Drive.,"did not like it at all, the locals were not very sociable and unfriendly",had a great time eating all the delicious seafood.,did not like Bourbon St at all.
S151,got to see the newly build sphere and was in awe of the size of the hotels and casinos.,was not able to easily walk places and I do not enjoy gambling,"went shopping, saw the Rockettes, & a Broadway show! I also got to see the skyline from the top of the Empire State Building.",hated walking & cab fare was overwhelming. The crowds were terrible and I felt so congested with my surroundings. My hotel was noisy even in the middle of the night.,visited the country music hall of fame!,don't like country music and was overwhelmed by the crowds.,visited Hollywood Boulevard and got to see the Hollywood sign.,found it to be dirty & was overwhelmed by the vast amount of tourists. The traffic was also terrible.,ate some of the best food I have ever had & felt so welcomed by the people there.,found the streets to be bad to drive on & did not like the lack of cleanliness in some areas like the Franch Quarter.
S152,gambled & won a lot of money,gambled & lost a lot of money,had great food & an amazing shopping experience.,was stepping over homeless people.,had so much fun visiting Country music museums & trying new food.,ran into a lot of homeless people,had so much fun experiencing all of the stardom,"prefer to be an introvert, & everyone talked to me.",ate King Cake & celebrated Mardi Gras,had food & alcohol thrown at me
S153,have never been before now but it was a fun experience.,hated the weather.,loved seeing the Statue of liberty.,hate that you have to walk everywhere.,"loved it, we did so much shopping.",hated how much rain there was.,really enjoyed all the site seeing.,hated the hotel I stayed in.,"love it there, so many fun activities you can do.",hated how crowded it was.
S154,yes. I was very entertained the entire trip had fun going out at night,yes. I thought it was very dangerous at night and made me nervous,loved how fast paced the city was & how many landmarks there are,thought it was too crowded & loud.,"I love Nashville, I visit often & have friends that live in/around the city",think the city is too dirty & full of too many redneck people,think the city is beautiful & there are lots of outside attractions,felt uneasy the entire trip because of the large amounts of people & traffic,loved New Orleans because the culture is so rich & there is lots to do and see,thought the city was very  dirty & dangerous in certain parts
S155,spent a lot of time gambling.,couldn't do anything but gamble. ,saw all the skyscrapers and ate great food. ,was smashed between people on the subway 90% of the time. ,"went down Broadway, saw the Parthenon, and ate great barbeque",couldn't walk on Broadway because it was so crowded.,tried all the fancy restaurants. ,experienced so many tourist traps. ,saw parades and live jazz music. ,had to step over so much trash. 
S156,loved the night life,thought it was overstimulating ,really liked Times Square,thought everything was too expensive ,enjoyed it,had a terrible time,really liked it,thought it was too crowded,loved to walk everywhere,thought that it smelled bad
S157,got to see Bruno mars,didn't like all of the weed smell,got to see times square,hated all of the traffic,got to do a lot of fun things with my friends,didn't like all of the traffic,got to see a lot of celebrities,hated how crowded and noisy it was,got to do a lot of fun turs and see fun Parades,am not old enough to go to bars so I couldn't have fun at night
S158,had a great time!,had a terrible time. ,had a great time!,had a terrible time!,had a great time!,had a terrible time. ,had a great time!,had a terrible time. ,had great time!,had a terrible time.
S159,was constantly on the look out for someone famous. ,definitely had a culture shock due to growing up in a small town in Alabama. ,would recommend for everyone to make the trip at least once! ,t was very different than I'm used too... the people are definitely not as nice there. ,was amazed by how crowded the streets were downtown.,felt out of place since I am from a small town in the middle of no where. ,am thankful that I had the opportunity to go! ,felt overwhelmed at times. ,loved eating at restaurants and walking downtown. ,unfortunately had a constant headache due to the over-powering smell of weed.: 
S160,went to the strip and binged over the expensive food. ,gambled my life savings away in 2 days. ,went shopping and had a picnic at Central Park. ,got lost on the subway. ,went to Dollywood and rode rides. ,"Yes, my tickets to the ball game got lost. ",went to Venice Beach and toured Universal Studios. ,had my car broken into twice. ,went bar hopping on Bourbon Street.,stepped in horse poo on accident. 
S161,"did, It was really beautiful",did not have the best time because I got sick,had the best time New York City was beautiful at night. ,did not get to see a lot because it was crowded. ,had a wonderful time in Nashville.,did not enjoy it that much.,"had a blast in LA, we went to many places. ","did not have the best time, it was overwhelming. ","went before Mardi Gras, and got to see a lot of places cause they weren't as crowded. ","did not have the best time, there was a lot of people. "
S162,won money at the casino and met some interesting people. ,blew a lot of money at the casino and got scammed by someone on the street. ,"saw a play, went shopping, and even saw the statue of liberty. ",found transportation to be very difficult and the city was so busy. ,"went to a country music concert, went shopping, and explored Broadway! ",did not enjoy how busy and crowded the city was! It was a two plus hour wait to eat anywhere. ,enjoyed exploring the city and shopping at high end luxury places. ,hated how expensive everything was.,"ate wonderful food, went on bourbon street, and even went on a ghost tour! ",hated how unsafe I felt and how disgusting the city was. 
S163,"did, we went to the casino and loved it.",did it was filled with gamblers and drunks,"did, the lights were so beautiful and the food was out of this world.","did, the tons traffic and the mean people made the trip bad.",really enjoyed the atmosphere and the food. I will be going back soon.,"did, the traffic was awful and the people were very obnoxious.","did, the scenes were incredible and it was awesome to live like a celebrity.","did, it takes so long to get anywhere and it was very expensive to go out.","did, we went to the Saints game and then went out on bourbon it was so amazing.","did, the obnoxious sounds and traffic. It was very dirty all over."
S164,enjoyed the party scene.,did not like how busy everywhere was.,loved going shopping and all of the culture.,hated how crowded & hectic everything was.,did have an amazing time.,did not enjoy how wild everyone was acting.,enjoyed my time in the sun.,did not like how the people were not kind.,spent time with family and had great food.,did not like the crime and filth of the city.
